iter,T,current_profit,best_profit,neighbor_profit,accepted
0,100,26670.6,26670.6,26667.7,1
1,98,26667.7,26670.6,26655.6,1
2,96.04,26655.6,26670.6,26592.1,1
3,94.1192,26592.1,26670.6,26525.7,1
4,92.2368,26525.7,26670.6,26598.5,1
5,90.3921,26598.5,26670.6,26600.8,1
6,88.5842,26600.8,26670.6,26646.7,1
7,86.8126,26646.7,26670.6,26670.5,1
8,85.0763,26670.5,26670.6,26570.4,0
9,83.3748,26670.5,26670.6,26640.5,0
10,81.7073,26670.5,26670.6,26572.2,0
11,80.0731,26670.5,26670.6,26671,1
12,78.4717,26671,26671,26684.5,1
13,76.9022,26684.5,26684.5,26671.9,1
14,75.3642,26671.9,26684.5,26672.7,1
15,73.8569,26672.7,26684.5,26626,1
16,72.3798,26626,26684.5,26629.8,1
17,70.9322,26629.8,26684.5,26600,0
18,69.5135,26629.8,26684.5,26618.3,1
19,68.1233,26618.3,26684.5,26584.2,0
20,66.7608,26618.3,26684.5,26631.5,1
21,65.4256,26631.5,26684.5,26507.4,0
22,64.1171,26631.5,26684.5,26593.7,1
23,62.8347,26593.7,26684.5,26600.5,1
24,61.578,26600.5,26684.5,26591.7,1
25,60.3465,26591.7,26684.5,26655,1
26,59.1395,26655,26684.5,26656,1
27,57.9568,26656,26684.5,26544.3,1
28,56.7976,26544.3,26684.5,26520.7,0
29,55.6617,26544.3,26684.5,26552.5,1
30,54.5484,26552.5,26684.5,26517.1,1
31,53.4575,26517.1,26684.5,26517.1,1
32,52.3883,26517.1,26684.5,26493.4,0
33,51.3405,26517.1,26684.5,26493.3,0
34,50.3137,26517.1,26684.5,26504.2,0
35,49.3075,26517.1,26684.5,26643.3,1
36,48.3213,26643.3,26684.5,26691.9,1
37,47.3549,26691.9,26691.9,26743.6,1
38,46.4078,26743.6,26743.6,26720.1,0
39,45.4796,26743.6,26743.6,26698.6,1
40,44.57,26698.6,26743.6,26614.1,0
41,43.6786,26698.6,26743.6,26715.4,1
42,42.8051,26715.4,26743.6,26689.5,1
43,41.949,26689.5,26743.6,26635.5,0
44,41.11,26689.5,26743.6,26722.4,1
45,40.2878,26722.4,26743.6,26798.1,1
46,39.482,26798.1,26798.1,26824.7,1
47,38.6924,26824.7,26824.7,26773,0
48,37.9185,26824.7,26824.7,26779.8,0
49,37.1602,26824.7,26824.7,26702.3,0
50,36.417,26824.7,26824.7,26771.7,0
51,35.6886,26824.7,26824.7,26816,0
52,34.9749,26824.7,26824.7,26776.1,0
53,34.2754,26824.7,26824.7,26808,1
54,33.5899,26808,26824.7,26806.5,1
55,32.9181,26806.5,26824.7,26754.4,0
56,32.2597,26806.5,26824.7,26811.3,1
57,31.6145,26811.3,26824.7,26792,0
58,30.9822,26811.3,26824.7,26894.7,1
59,30.3626,26894.7,26894.7,26821.5,0
60,29.7553,26894.7,26894.7,26882.2,1
61,29.1602,26882.2,26894.7,26961.7,1
62,28.577,26961.7,26961.7,26908.4,0
63,28.0055,26961.7,26961.7,26920.8,0
64,27.4454,26961.7,26961.7,26815.9,0
65,26.8964,26961.7,26961.7,26983.2,1
66,26.3585,26983.2,26983.2,26994.8,1
67,25.8313,26994.8,26994.8,27027.8,1
68,25.3147,27027.8,27027.8,26888.5,0
69,24.8084,27027.8,27027.8,27016.7,1
70,24.3123,27016.7,27027.8,27008.3,1
71,23.826,27008.3,27027.8,26989.8,0
72,23.3495,27008.3,27027.8,27070,1
73,22.8825,27070,27070,27040.5,0
74,22.4249,27070,27070,27093.8,1
75,21.9764,27093.8,27093.8,27087.1,1
76,21.5368,27087.1,27093.8,27045.6,0
77,21.1061,27087.1,27093.8,27007.3,0
78,20.684,27087.1,27093.8,27073.9,1
79,20.2703,27073.9,27093.8,27073.2,1
80,19.8649,27073.2,27093.8,27016.2,0
81,19.4676,27073.2,27093.8,27071.4,0
82,19.0782,27073.2,27093.8,26958.6,0
83,18.6967,27073.2,27093.8,27006.3,0
84,18.3227,27073.2,27093.8,27047.7,0
85,17.9563,27073.2,27093.8,27107.7,1
86,17.5972,27107.7,27107.7,27102.1,1
87,17.2452,27102.1,27107.7,27085.1,1
88,16.9003,27085.1,27107.7,27061.1,1
89,16.5623,27061.1,27107.7,27069.8,1
90,16.2311,27069.8,27107.7,27069.5,1
91,15.9064,27069.5,27107.7,27067.3,1
92,15.5883,27067.3,27107.7,26977.7,0
93,15.2765,27067.3,27107.7,26978.3,0
94,14.971,27067.3,27107.7,26977.4,0
95,14.6716,27067.3,27107.7,27073.7,1
96,14.3782,27073.7,27107.7,27140.2,1
97,14.0906,27140.2,27140.2,27051.2,0
98,13.8088,27140.2,27140.2,27145.8,1
99,13.5326,27145.8,27145.8,27148.4,1
100,13.262,27148.4,27148.4,27158.6,1
101,12.9967,27158.6,27158.6,27128.9,0
102,12.7368,27158.6,27158.6,27114.2,0
103,12.482,27158.6,27158.6,27187.6,1
104,12.2324,27187.6,27187.6,27245.4,1
105,11.9878,27245.4,27245.4,27130.7,0
106,11.748,27245.4,27245.4,27226.1,0
107,11.513,27245.4,27245.4,27084,0
108,11.2828,27245.4,27245.4,27136,0
109,11.0571,27245.4,27245.4,27217.2,0
110,10.836,27245.4,27245.4,27233,1
111,10.6193,27233,27245.4,27194.7,1
112,10.4069,27194.7,27245.4,27156,0
113,10.1987,27194.7,27245.4,27217.6,1
114,9.99477,27217.6,27245.4,27275.1,1
115,9.79487,27275.1,27275.1,27287.7,1
116,9.59897,27287.7,27287.7,27313.4,1
117,9.40699,27313.4,27313.4,27282.9,0
118,9.21885,27313.4,27313.4,27212.8,0
119,9.03448,27313.4,27313.4,27311.8,1
120,8.85379,27311.8,27313.4,27218.5,0
121,8.67671,27311.8,27313.4,27302.6,1
122,8.50318,27302.6,27313.4,27222.7,0
123,8.33311,27302.6,27313.4,27316.2,1
124,8.16645,27316.2,27316.2,27339,1
125,8.00312,27339,27339,27254.8,0
126,7.84306,27339,27339,27342.7,1
127,7.6862,27342.7,27342.7,27271.8,0
128,7.53247,27342.7,27342.7,27340.7,0
129,7.38183,27342.7,27342.7,27250.2,0
130,7.23419,27342.7,27342.7,27333.1,0
131,7.08951,27342.7,27342.7,27282.2,0
132,6.94771,27342.7,27342.7,27316.6,0
133,6.80876,27342.7,27342.7,27345.4,1
134,6.67259,27345.4,27345.4,27339,0
135,6.53913,27345.4,27345.4,27400.1,1
136,6.40835,27400.1,27400.1,27417.7,1
137,6.28018,27417.7,27417.7,27418.6,1
138,6.15458,27418.6,27418.6,27388.4,0
139,6.03149,27418.6,27418.6,27418.5,1
140,5.91086,27418.5,27418.6,27323.4,0
141,5.79264,27418.5,27418.6,27412.7,0
142,5.67679,27418.5,27418.6,27423.8,1
143,5.56325,27423.8,27423.8,27393.6,0
144,5.45199,27423.8,27423.8,27400.1,0
145,5.34295,27423.8,27423.8,27411,0
146,5.23609,27423.8,27423.8,27395.1,0
147,5.13137,27423.8,27423.8,27421.2,1
148,5.02874,27421.2,27423.8,27350.3,0
149,4.92817,27421.2,27423.8,27415.3,1
150,4.8296,27415.3,27423.8,27389.1,0
151,4.73301,27415.3,27423.8,27430.7,1
152,4.63835,27430.7,27430.7,27425.5,1
153,4.54558,27425.5,27430.7,27298.9,0
154,4.45467,27425.5,27430.7,27368.7,0
155,4.36558,27425.5,27430.7,27447.2,1
156,4.27827,27447.2,27447.2,27393.2,0
157,4.1927,27447.2,27447.2,27414.7,0
158,4.10885,27447.2,27447.2,27472.7,1
159,4.02667,27472.7,27472.7,27456.2,0
160,3.94614,27472.7,27472.7,27434.2,0
161,3.86721,27472.7,27472.7,27460.6,0
162,3.78987,27472.7,27472.7,27449.6,0
163,3.71407,27472.7,27472.7,27449.7,0
164,3.63979,27472.7,27472.7,27405.5,0
165,3.56699,27472.7,27472.7,27457.3,0
166,3.49566,27472.7,27472.7,27431,0
167,3.42574,27472.7,27472.7,27429.3,0
168,3.35723,27472.7,27472.7,27489,1
169,3.29008,27489,27489,27473.2,0
170,3.22428,27489,27489,27438.1,0
171,3.1598,27489,27489,27413.7,0
172,3.0966,27489,27489,27423.8,0
173,3.03467,27489,27489,27439.5,0
174,2.97397,27489,27489,27330.8,0
175,2.91449,27489,27489,27483.1,0
176,2.8562,27489,27489,27364.7,0
177,2.79908,27489,27489,27330.8,0
178,2.7431,27489,27489,27493.6,1
179,2.68824,27493.6,27493.6,27425.4,0
180,2.63447,27493.6,27493.6,27482.2,0
181,2.58178,27493.6,27493.6,27450.2,0
182,2.53015,27493.6,27493.6,27401.3,0
183,2.47954,27493.6,27493.6,27449.3,0
184,2.42995,27493.6,27493.6,27452,0
185,2.38135,27493.6,27493.6,27535.5,1
186,2.33373,27535.5,27535.5,27493.8,0
187,2.28705,27535.5,27535.5,27458.8,0
188,2.24131,27535.5,27535.5,27520.9,0
189,2.19649,27535.5,27535.5,27520.1,0
190,2.15256,27535.5,27535.5,27506.1,0
191,2.1095,27535.5,27535.5,27525.5,0
192,2.06731,27535.5,27535.5,27465.8,0
